Frequency (Hz)	Level (dB)
43.066406	-63.035732
86.132812	-51.938923
129.199219	-47.421852
172.265625	-47.637398
215.332031	-49.298134
258.398438	-50.410881
301.464844	-51.713833
344.531250	-51.950584
387.597656	-48.799030
430.664062	-42.515236
473.730469	-42.743885
516.796875	-47.937874
559.863281	-53.051720
602.929688	-44.256527
645.996094	-41.199059
689.062500	-46.706684
732.128906	-57.850452
775.195312	-59.033318
818.261719	-57.726727
861.328125	-59.927773
904.394531	-50.877232
947.460938	-51.201778
990.527344	-57.340855
1033.593750	-54.534660
1076.660156	-54.132301
1119.726562	-52.121914
1162.792969	-52.737144
1205.859375	-59.390549
1248.925781	-55.695152
1291.992188	-49.666557
1335.058594	-47.857967
1378.125000	-47.085094
1421.191406	-47.689445
1464.257812	-51.037884
1507.324219	-49.164494
1550.390625	-46.984776
1593.457031	-50.473988
1636.523438	-47.118961
1679.589844	-47.719654
1722.656250	-49.190525
1765.722656	-48.819530
1808.789062	-50.360279
1851.855469	-51.633762
1894.921875	-51.331055
1937.988281	-51.269058
1981.054688	-50.312500
2024.121094	-49.469585
2067.187500	-49.486347
2110.253906	-51.266132
2153.320312	-50.109932
2196.386719	-49.362473
2239.453125	-50.342270
2282.519531	-53.097340
2325.585938	-58.478695
2368.652344	-54.162834
2411.718750	-51.859779
2454.785156	-52.161011
2497.851562	-52.232109
2540.917969	-52.335957
2583.984375	-54.795475
2627.050781	-58.465080
2670.117188	-55.944115
2713.183594	-59.924618
2756.250000	-60.223595
2799.316406	-63.110313
2842.382812	-62.225361
2885.449219	-61.622849
2928.515625	-61.154751
2971.582031	-60.569096
3014.648438	-62.255859
3057.714844	-64.202248
3100.781250	-64.588135
3143.847656	-60.330566
3186.914062	-61.401627
3229.980469	-61.520756
3273.046875	-64.636116
3316.113281	-68.827019
3359.179688	-71.527771
3402.246094	-75.079376
3445.312500	-73.646637
3488.378906	-72.023384
3531.445312	-71.709549
3574.511719	-72.724182
3617.578125	-73.512589
3660.644531	-72.957504
3703.710938	-71.866409
3746.777344	-69.960526
3789.843750	-69.598534
3832.910156	-68.428276
3875.976562	-68.734352
3919.042969	-70.093292
3962.109375	-68.712837
4005.175781	-65.515533
4048.242188	-65.766647
4091.308594	-63.923260
4134.375000	-62.809772
4177.441406	-58.032753
4220.507812	-52.954887
4263.574219	-43.163975
4306.640625	-42.529892
4349.707031	-51.308327
4392.773438	-62.029797
4435.839844	-63.141399
4478.906250	-65.962921
4521.972656	-64.422485
4565.039062	-67.522247
4608.105469	-70.578796
4651.171875	-71.254036
4694.238281	-71.961456
4737.304688	-69.181755
4780.371094	-67.300644
4823.437500	-69.125198
4866.503906	-71.284126
4909.570312	-75.192924
4952.636719	-75.021469
4995.703125	-76.534538
5038.769531	-77.033600
5081.835938	-76.666618
5124.902344	-76.439369
5167.968750	-75.859818
5211.035156	-77.177338
5254.101562	-77.268135
5297.167969	-73.991730
5340.234375	-75.028259
5383.300781	-78.697540
5426.367188	-72.922188
5469.433594	-73.385666
5512.500000	-75.635704
5555.566406	-76.738747
5598.632812	-74.084152
5641.699219	-72.766182
5684.765625	-72.618553
5727.832031	-72.847305
5770.898438	-74.859276
5813.964844	-76.765800
5857.031250	-76.111023
5900.097656	-77.252090
5943.164062	-78.170563
5986.230469	-78.506165
6029.296875	-76.630020
6072.363281	-74.574951
6115.429688	-74.861069
6158.496094	-82.219620
6201.562500	-81.870148
6244.628906	-76.808624
6287.695312	-75.686096
6330.761719	-75.893127
6373.828125	-81.478821
6416.894531	-80.259705
6459.960938	-79.258133
6503.027344	-80.065407
6546.093750	-80.493797
6589.160156	-81.487831
6632.226562	-78.654953
6675.292969	-77.552773
6718.359375	-78.330643
6761.425781	-78.397682
6804.492188	-78.025520
6847.558594	-77.457596
6890.625000	-75.419434
6933.691406	-74.697052
6976.757812	-75.742149
7019.824219	-77.024750
7062.890625	-79.870544
7105.957031	-78.895882
7149.023438	-78.866638
7192.089844	-82.181892
7235.156250	-80.730606
7278.222656	-78.153625
7321.289062	-77.828934
7364.355469	-79.921165
7407.421875	-81.444427
7450.488281	-83.023003
7493.554688	-83.132568
7536.621094	-84.287888
7579.687500	-83.836845
7622.753906	-85.249863
7665.820312	-86.455856
7708.886719	-84.963539
7751.953125	-85.463821
7795.019531	-85.032257
7838.085938	-86.688644
7881.152344	-87.775398
7924.218750	-85.407471
7967.285156	-83.378197
8010.351562	-82.881706
8053.417969	-85.257294
8096.484375	-85.698357
8139.550781	-85.010094
8182.617188	-87.031639
8225.683594	-87.147003
8268.750000	-87.923126
8311.816406	-88.487427
8354.882812	-84.568283
8397.949219	-83.677773
8441.015625	-82.651169
8484.082031	-82.611115
8527.148438	-81.678001
8570.214844	-78.156754
8613.281250	-80.498886
8656.347656	-84.499405
8699.414062	-86.694519
8742.480469	-83.919601
8785.546875	-84.161850
8828.613281	-90.152847
8871.679688	-90.019615
8914.746094	-86.983109
8957.812500	-85.962929
9000.878906	-87.557137
9043.945312	-89.031738
9087.011719	-88.975243
9130.078125	-89.568108
9173.144531	-88.749405
9216.210938	-89.015938
9259.277344	-89.031975
9302.343750	-90.970665
9345.410156	-91.827911
9388.476562	-90.877693
9431.542969	-92.051353
9474.609375	-92.987343
9517.675781	-92.003624
9560.742188	-93.648071
9603.808594	-92.299072
9646.875000	-91.117195
9689.941406	-91.971756
9733.007812	-93.030357
9776.074219	-93.962906
9819.140625	-93.068283
9862.207031	-93.406197
9905.273438	-92.408257
9948.339844	-93.141563
9991.406250	-94.345848
10034.472656	-93.859741
10077.539062	-92.456955
10120.605469	-91.758110
10163.671875	-94.290070
10206.738281	-93.536385
10249.804688	-93.670631
10292.871094	-94.888832
10335.937500	-95.640152
10379.003906	-93.904053
10422.070312	-92.486519
10465.136719	-93.362915
10508.203125	-94.238213
10551.269531	-94.636208
10594.335938	-95.249840
10637.402344	-96.721687
10680.468750	-97.792099
10723.535156	-96.177254
10766.601562	-95.188530
10809.667969	-95.778572
10852.734375	-94.725456
10895.800781	-93.084328
10938.867188	-94.251167
10981.933594	-95.183784
