Frequency (Hz)	Level (dB)
43.066406	-59.700619
86.132812	-49.097679
129.199219	-43.247990
172.265625	-42.405838
215.332031	-44.455627
258.398438	-45.484676
301.464844	-44.120979
344.531250	-45.025944
387.597656	-40.692383
430.664062	-35.504841
473.730469	-35.707722
516.796875	-40.720276
559.863281	-45.299309
602.929688	-36.815403
645.996094	-33.785164
689.062500	-39.433212
732.128906	-50.874649
775.195312	-51.149265
818.261719	-50.937149
861.328125	-51.511765
904.394531	-41.934563
947.460938	-42.430851
990.527344	-48.102810
1033.593750	-46.371105
1076.660156	-45.415184
1119.726562	-43.236618
1162.792969	-43.523972
1205.859375	-49.365768
1248.925781	-46.884014
1291.992188	-40.255493
1335.058594	-39.245090
1378.125000	-39.548950
1421.191406	-41.075092
1464.257812	-43.669525
1507.324219	-41.657909
1550.390625	-38.072868
1593.457031	-41.061756
1636.523438	-38.651962
1679.589844	-38.400467
1722.656250	-39.549080
1765.722656	-40.419464
1808.789062	-42.262859
1851.855469	-43.957748
1894.921875	-44.751709
1937.988281	-44.342976
1981.054688	-42.950382
2024.121094	-41.894012
2067.187500	-40.862160
2110.253906	-42.305695
2153.320312	-41.641479
2196.386719	-40.449471
2239.453125	-39.028332
2282.519531	-41.790989
2325.585938	-47.107967
2368.652344	-43.233360
2411.718750	-42.102970
2454.785156	-41.687183
2497.851562	-42.339310
2540.917969	-42.902798
2583.984375	-43.872936
2627.050781	-46.613346
2670.117188	-46.235752
2713.183594	-49.876915
2756.250000	-50.479351
2799.316406	-51.531071
2842.382812	-52.816219
2885.449219	-53.816856
2928.515625	-52.457134
2971.582031	-51.453255
3014.648438	-52.707329
3057.714844	-54.185646
3100.781250	-54.155876
3143.847656	-50.842140
3186.914062	-51.947941
3229.980469	-51.796539
3273.046875	-54.459621
3316.113281	-59.303932
3359.179688	-61.835941
3402.246094	-64.223991
3445.312500	-62.417850
3488.378906	-60.701187
3531.445312	-59.151989
3574.511719	-59.449207
3617.578125	-64.496208
3660.644531	-68.084648
3703.710938	-66.118080
3746.777344	-66.366592
3789.843750	-67.202942
3832.910156	-64.721298
3875.976562	-63.844929
3919.042969	-61.659912
3962.109375	-61.016277
4005.175781	-59.737213
4048.242188	-61.530041
4091.308594	-63.883812
4134.375000	-65.641869
4177.441406	-63.685951
4220.507812	-61.204521
4263.574219	-60.042377
4306.640625	-59.351070
4349.707031	-61.392887
4392.773438	-63.236172
4435.839844	-63.137463
4478.906250	-62.016293
4521.972656	-61.762501
4565.039062	-62.462448
4608.105469	-63.312916
4651.171875	-63.700878
4694.238281	-64.626160
4737.304688	-61.269753
4780.371094	-57.206810
4823.437500	-58.359478
4866.503906	-60.662521
4909.570312	-66.386452
4952.636719	-65.795044
4995.703125	-66.270615
5038.769531	-65.772446
5081.835938	-64.559685
5124.902344	-64.077354
5167.968750	-64.754387
5211.035156	-68.812416
5254.101562	-69.960098
5297.167969	-64.644157
5340.234375	-65.694290
5383.300781	-66.200775
5426.367188	-60.845104
5469.433594	-63.150650
5512.500000	-66.898544
5555.566406	-65.819107
5598.632812	-63.944592
5641.699219	-61.847076
5684.765625	-62.059540
5727.832031	-61.230415
5770.898438	-64.424904
5813.964844	-67.780899
5857.031250	-69.290428
5900.097656	-67.567764
5943.164062	-67.537186
5986.230469	-67.972229
6029.296875	-67.122459
6072.363281	-63.825806
6115.429688	-63.443783
6158.496094	-69.036751
6201.562500	-68.891838
6244.628906	-64.310104
6287.695312	-63.631756
6330.761719	-64.274719
6373.828125	-70.844025
6416.894531	-71.409714
6459.960938	-68.120201
6503.027344	-69.283089
6546.093750	-71.000648
6589.160156	-72.737389
6632.226562	-70.645981
6675.292969	-67.211220
6718.359375	-66.872910
6761.425781	-66.247589
6804.492188	-65.567818
6847.558594	-65.467178
6890.625000	-65.179604
6933.691406	-63.111042
6976.757812	-64.526955
7019.824219	-67.714149
7062.890625	-69.888306
7105.957031	-68.117371
7149.023438	-67.889000
7192.089844	-67.488358
7235.156250	-67.335129
7278.222656	-67.143593
7321.289062	-67.150047
7364.355469	-69.041321
7407.421875	-69.776794
7450.488281	-70.235077
7493.554688	-71.198975
7536.621094	-74.173119
7579.687500	-75.384300
7622.753906	-77.097015
7665.820312	-74.506493
7708.886719	-71.495750
7751.953125	-70.426842
7795.019531	-72.831436
7838.085938	-74.077843
7881.152344	-73.204514
7924.218750	-73.246315
7967.285156	-77.084267
8010.351562	-74.477722
8053.417969	-71.868744
8096.484375	-70.774910
8139.550781	-69.395874
8182.617188	-70.430367
8225.683594	-70.286072
8268.750000	-70.771950
8311.816406	-71.452431
8354.882812	-69.416229
8397.949219	-69.384094
8441.015625	-68.576027
8484.082031	-67.968513
8527.148438	-70.331108
8570.214844	-72.363960
8613.281250	-72.702049
8656.347656	-73.603386
8699.414062	-71.638657
8742.480469	-67.922943
8785.546875	-69.384941
8828.613281	-75.183662
8871.679688	-80.285263
8914.746094	-77.863785
8957.812500	-76.146469
9000.878906	-76.505455
9043.945312	-77.060715
9087.011719	-76.559311
9130.078125	-77.708763
9173.144531	-80.994225
9216.210938	-83.461754
9259.277344	-83.559052
9302.343750	-82.008492
9345.410156	-78.797638
9388.476562	-79.707451
9431.542969	-82.033028
9474.609375	-81.403099
9517.675781	-80.137451
9560.742188	-81.736221
9603.808594	-80.483887
9646.875000	-81.429596
9689.941406	-80.607117
9733.007812	-82.958122
9776.074219	-87.483032
9819.140625	-88.220726
9862.207031	-87.663933
9905.273438	-83.420418
9948.339844	-82.916626
9991.406250	-85.712410
10034.472656	-84.516846
10077.539062	-83.906425
10120.605469	-84.193192
10163.671875	-80.988564
10206.738281	-82.544228
10249.804688	-90.844513
10292.871094	-85.360596
10335.937500	-83.928024
10379.003906	-83.207466
10422.070312	-81.841682
10465.136719	-82.135002
10508.203125	-84.929146
10551.269531	-87.312248
10594.335938	-87.293709
10637.402344	-86.971375
10680.468750	-87.753014
10723.535156	-89.418633
10766.601562	-86.883163
10809.667969	-86.311714
10852.734375	-88.017845
10895.800781	-90.157082
10938.867188	-90.595108
10981.933594	-87.429695
